areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
S12000013,Na h-Eileanan Siar,utla,2022-01-01,0
S12000029,South Lanarkshire,utla,2022-01-01,0
S12000045,East Dunbartonshire,utla,2022-01-01,0
E06000003,Redcar and Cleveland,utla,2021-12-31,15
E06000014,York,utla,2021-12-31,43
E06000050,Cheshire West and Chester,utla,2021-12-31,59
E08000001,Bolton,utla,2021-12-31,45
E08000016,Barnsley,utla,2021-12-31,32
E08000031,Wolverhampton,utla,2021-12-31,40
E08000032,Bradford,utla,2021-12-31,165
E09000018,Hounslow,utla,2021-12-31,88
E09000032,Wandsworth,utla,2021-12-31,94
E09000033,Westminster,utla,2021-12-31,72
E10000034,Worcestershire,utla,2021-12-31,86
S12000013,Na h-Eileanan Siar,utla,2021-12-31,4
S12000029,South Lanarkshire,utla,2021-12-31,39
S12000045,East Dunbartonshire,utla,2021-12-31,4
E06000003,Redcar and Cleveland,utla,2021-12-30,50
E06000014,York,utla,2021-12-30,131
E06000050,Cheshire West and Chester,utla,2021-12-30,144
E08000001,Bolton,utla,2021-12-30,115
E08000016,Barnsley,utla,2021-12-30,43
E08000031,Wolverhampton,utla,2021-12-30,151
E08000032,Bradford,utla,2021-12-30,300
E09000018,Hounslow,utla,2021-12-30,137
E09000032,Wandsworth,utla,2021-12-30,130
E09000033,Westminster,utla,2021-12-30,150
E10000034,Worcestershire,utla,2021-12-30,258
S12000013,Na h-Eileanan Siar,utla,2021-12-30,6
S12000029,South Lanarkshire,utla,2021-12-30,69
S12000045,East Dunbartonshire,utla,2021-12-30,30
E06000003,Redcar and Cleveland,utla,2021-12-29,48
E06000014,York,utla,2021-12-29,116
E06000050,Cheshire West and Chester,utla,2021-12-29,133
E08000001,Bolton,utla,2021-12-29,181
E08000016,Barnsley,utla,2021-12-29,97
E08000031,Wolverhampton,utla,2021-12-29,168
E08000032,Bradford,utla,2021-12-29,235
E09000018,Hounslow,utla,2021-12-29,206
E09000032,Wandsworth,utla,2021-12-29,145
E09000033,Westminster,utla,2021-12-29,179
E10000034,Worcestershire,utla,2021-12-29,221
S12000013,Na h-Eileanan Siar,utla,2021-12-29,8
S12000029,South Lanarkshire,utla,2021-12-29,78
S12000045,East Dunbartonshire,utla,2021-12-29,22
E06000003,Redcar and Cleveland,utla,2021-12-28,41
E06000014,York,utla,2021-12-28,87
E06000050,Cheshire West and Chester,utla,2021-12-28,106
E08000001,Bolton,utla,2021-12-28,77
E08000016,Barnsley,utla,2021-12-28,52
E08000031,Wolverhampton,utla,2021-12-28,87
E08000032,Bradford,utla,2021-12-28,188
E09000018,Hounslow,utla,2021-12-28,136
E09000032,Wandsworth,utla,2021-12-28,131
E09000033,Westminster,utla,2021-12-28,115
E10000034,Worcestershire,utla,2021-12-28,142
